주파수 (Hz)	레벨 (dB)
43.066406	-64.967232
86.132813	-68.322670
129.199219	-68.515907
172.265625	-71.740677
215.332031	-73.087402
258.398438	-72.545715
301.464844	-70.753883
344.531250	-65.172478
387.597656	-58.700466
430.664063	-56.738197
473.730469	-54.041500
516.796875	-52.875690
559.863281	-54.687698
602.929688	-53.807621
645.996094	-55.104584
689.062500	-56.514431
732.128906	-51.454903
775.195313	-48.205135
818.261719	-43.817566
861.328125	-39.541126
904.394531	-36.999550
947.460938	-34.052029
990.527344	-28.447784
1033.593750	-27.895088
1076.660156	-26.330353
1119.726563	-23.866346
1162.792969	-26.537123
1205.859375	-29.392904
1248.925781	-32.350746
1291.992188	-36.157879
1335.058594	-35.685253
1378.125000	-35.379494
1421.191406	-38.728893
1464.257813	-36.943001
1507.324219	-34.624710
1550.390625	-35.381947
1593.457031	-32.981159
1636.523438	-29.340879
1679.589844	-29.507788
1722.656250	-29.715097
1765.722656	-25.190357
1808.789063	-23.848793
1851.855469	-27.267040
1894.921875	-26.156630
1937.988281	-26.339611
1981.054688	-28.104151
2024.121094	-28.850969
2067.187500	-28.524769
2110.253906	-28.222689
2153.320313	-32.387791
2196.386719	-33.316505
2239.453125	-27.843063
2282.519531	-25.353458
2325.585938	-23.040073
2368.652344	-20.504328
2411.718750	-26.183001
2454.785156	-28.694443
2497.851563	-27.966753
2540.917969	-21.600815
2583.984375	-17.069511
2627.050781	-20.704992
2670.117188	-32.548752
2713.183594	-37.748112
2756.250000	-35.691547
2799.316406	-37.860809
2842.382813	-41.139381
2885.449219	-42.220428
2928.515625	-42.099903
2971.582031	-40.748688
3014.648438	-40.444481
3057.714844	-35.295006
3100.781250	-34.427025
3143.847656	-38.104801
3186.914063	-44.230938
3229.980469	-45.074802
3273.046875	-43.298038
3316.113281	-42.366592
3359.179688	-41.104969
3402.246094	-41.048321
3445.312500	-42.832802
3488.378906	-41.826019
3531.445313	-38.846001
3574.511719	-37.721008
3617.578125	-40.398434
3660.644531	-42.425598
3703.710938	-43.421238
3746.777344	-41.381889
3789.843750	-40.962917
3832.910156	-43.589035
3875.976563	-46.653648
3919.042969	-45.885750
3962.109375	-44.447849
4005.175781	-43.454742
4048.242188	-42.248081
4091.308594	-37.431828
4134.375000	-38.410725
4177.441406	-39.734921
4220.507813	-42.883060
4263.574219	-47.879726
4306.640625	-52.513111
4349.707031	-52.692993
4392.773438	-49.705822
4435.839844	-45.291836
4478.906250	-44.361244
4521.972656	-44.431671
4565.039063	-42.668316
4608.105469	-43.339508
4651.171875	-46.441536
4694.238281	-43.183083
4737.304688	-44.756435
4780.371094	-47.629986
4823.437500	-44.360565
4866.503906	-41.013580
4909.570313	-36.387173
4952.636719	-31.720793
4995.703125	-28.780060
5038.769531	-33.232841
5081.835938	-41.194469
5124.902344	-42.431492
5167.968750	-36.546799
5211.035156	-33.638611
5254.101563	-36.326664
5297.167969	-39.473598
5340.234375	-46.674889
5383.300781	-46.947712
5426.367188	-48.732330
5469.433594	-49.494102
5512.500000	-52.345375
5555.566406	-53.788670
5598.632813	-54.557198
5641.699219	-54.828362
5684.765625	-54.282352
5727.832031	-54.216206
5770.898438	-54.616417
5813.964844	-55.014889
5857.031250	-55.243919
5900.097656	-52.415600
5943.164063	-50.611473
5986.230469	-52.294579
6029.296875	-52.644505
6072.363281	-53.526661
6115.429688	-53.275223
6158.496094	-53.476952
6201.562500	-51.459141
6244.628906	-47.218853
6287.695313	-49.170364
6330.761719	-47.790722
6373.828125	-49.154720
6416.894531	-51.995850
6459.960938	-53.367107
6503.027344	-55.576130
6546.093750	-58.094967
6589.160156	-59.897385
6632.226563	-59.371651
6675.292969	-57.128902
6718.359375	-55.530754
6761.425781	-56.494884
6804.492188	-55.866173
6847.558594	-55.909771
6890.625000	-54.193352
6933.691406	-53.384144
6976.757813	-54.948044
7019.824219	-52.981411
7062.890625	-50.002781
7105.957031	-48.241287
7149.023438	-49.347218
7192.089844	-49.970680
7235.156250	-51.400200
7278.222656	-52.211090
7321.289063	-53.731777
7364.355469	-56.082771
7407.421875	-55.652946
7450.488281	-52.189022
7493.554688	-50.068920
7536.621094	-52.215557
7579.687500	-52.278641
7622.753906	-51.174629
7665.820313	-50.656590
7708.886719	-50.257034
7751.953125	-51.124035
7795.019531	-50.419052
7838.085938	-53.962856
7881.152344	-62.173393
7924.218750	-64.092590
7967.285156	-64.554077
8010.351563	-63.705666
8053.417969	-62.810341
8096.484375	-63.320053
8139.550781	-63.662922
8182.617188	-56.611790
8225.683594	-54.216499
8268.750000	-55.851048
8311.816406	-54.897881
8354.882813	-59.196934
8397.949219	-64.656731
8441.015625	-66.014244
8484.082031	-66.596947
8527.148438	-69.253525
8570.214844	-67.323494
8613.281250	-65.292824
8656.347656	-65.494019
8699.414063	-66.010963
8742.480469	-66.612892
8785.546875	-68.460426
8828.613281	-70.704086
8871.679688	-70.663406
8914.746094	-70.617088
8957.812500	-70.505898
9000.878906	-67.954163
9043.945313	-67.685478
9087.011719	-67.540451
9130.078125	-67.348106
9173.144531	-68.097549
9216.210938	-68.627205
9259.277344	-68.392624
9302.343750	-68.446014
9345.410156	-67.392006
9388.476563	-64.950165
9431.542969	-63.360744
9474.609375	-61.959026
9517.675781	-62.753593
9560.742188	-66.376373
9603.808594	-67.237419
9646.875000	-66.229095
9689.941406	-64.836403
9733.007813	-64.150658
9776.074219	-62.038971
9819.140625	-63.455509
9862.207031	-62.733593
9905.273438	-64.920273
9948.339844	-65.459579
9991.406250	-64.520386
10034.472656	-65.752785
10077.539063	-68.306686
10120.605469	-66.843018
10163.671875	-64.741943
10206.738281	-64.383377
10249.804688	-63.196995
