주파수 (Hz)	레벨 (dB)
43.066406	-24.359812
86.132813	-36.577930
129.199219	-30.173054
172.265625	-23.810379
215.332031	-19.471127
258.398438	-15.870286
301.464844	-14.328121
344.531250	-18.188200
387.597656	-21.413071
430.664063	-26.481731
473.730469	-29.820833
516.796875	-29.982906
559.863281	-31.126324
602.929688	-32.956966
645.996094	-33.473179
689.062500	-33.743973
732.128906	-32.425102
775.195313	-31.743446
818.261719	-33.802872
861.328125	-34.114197
904.394531	-32.888115
947.460938	-31.087009
990.527344	-32.636787
1033.593750	-37.282547
1076.660156	-38.646011
1119.726563	-38.632034
1162.792969	-35.828709
1205.859375	-33.093861
1248.925781	-37.107391
1291.992188	-41.090599
1335.058594	-42.285583
1378.125000	-41.159863
1421.191406	-40.150162
1464.257813	-39.087448
1507.324219	-39.930176
1550.390625	-40.406136
1593.457031	-41.245098
1636.523438	-42.118580
1679.589844	-40.017944
1722.656250	-41.330734
1765.722656	-44.236439
1808.789063	-44.372719
1851.855469	-44.031799
1894.921875	-42.282051
1937.988281	-41.299828
1981.054688	-43.337589
2024.121094	-42.358349
2067.187500	-40.629993
2110.253906	-41.778145
2153.320313	-39.886299
2196.386719	-39.520218
2239.453125	-41.747990
2282.519531	-41.739647
2325.585938	-38.737434
2368.652344	-39.479607
2411.718750	-40.315979
2454.785156	-40.891571
2497.851563	-42.415443
2540.917969	-42.405079
2583.984375	-44.300442
2627.050781	-43.628712
2670.117188	-42.857212
2713.183594	-43.980030
2756.250000	-46.211269
2799.316406	-47.858688
2842.382813	-47.663784
2885.449219	-46.997009
2928.515625	-46.455509
2971.582031	-46.464714
3014.648438	-46.441402
3057.714844	-44.733788
3100.781250	-42.036179
3143.847656	-42.820473
3186.914063	-45.789280
3229.980469	-48.096455
3273.046875	-48.404427
3316.113281	-47.150002
3359.179688	-47.413403
3402.246094	-47.790428
3445.312500	-48.944729
3488.378906	-51.185863
3531.445313	-52.127182
3574.511719	-51.610199
3617.578125	-52.434933
3660.644531	-52.816753
3703.710938	-52.622776
3746.777344	-53.879349
3789.843750	-53.051682
3832.910156	-51.734921
3875.976563	-51.683170
3919.042969	-52.806141
3962.109375	-52.106068
4005.175781	-52.066444
4048.242188	-53.394524
4091.308594	-53.188831
4134.375000	-51.521629
4177.441406	-49.719677
4220.507813	-48.427097
4263.574219	-47.024441
4306.640625	-46.590984
4349.707031	-47.096031
4392.773438	-46.280396
4435.839844	-48.020008
4478.906250	-49.157261
4521.972656	-50.295738
4565.039063	-49.184490
4608.105469	-49.752949
4651.171875	-49.538631
4694.238281	-49.156300
4737.304688	-49.297016
4780.371094	-50.023468
4823.437500	-49.583786
4866.503906	-48.661182
4909.570313	-48.626591
4952.636719	-48.439083
4995.703125	-46.820240
5038.769531	-45.931934
5081.835938	-47.428230
5124.902344	-49.417450
5167.968750	-49.842903
5211.035156	-48.444290
5254.101563	-49.075062
5297.167969	-47.626629
5340.234375	-46.641968
5383.300781	-47.515465
5426.367188	-49.382553
5469.433594	-49.216022
5512.500000	-48.678535
5555.566406	-48.751335
5598.632813	-48.994160
5641.699219	-47.580761
5684.765625	-44.729832
5727.832031	-43.012669
5770.898438	-43.862194
5813.964844	-45.355522
5857.031250	-45.440231
5900.097656	-45.242062
5943.164063	-45.780445
5986.230469	-43.593468
6029.296875	-43.784847
6072.363281	-44.328800
6115.429688	-44.350731
6158.496094	-44.987598
6201.562500	-44.990276
6244.628906	-45.400639
6287.695313	-44.858986
6330.761719	-43.023651
6373.828125	-41.902058
6416.894531	-41.959263
6459.960938	-42.426151
6503.027344	-41.283306
6546.093750	-40.631271
6589.160156	-42.053158
6632.226563	-44.070671
6675.292969	-43.954826
6718.359375	-44.273647
6761.425781	-43.626297
6804.492188	-43.339241
