주파수 (Hz)	레벨 (dB)
43.066406	-14.075688
86.132813	-12.900632
129.199219	-16.386526
172.265625	-18.679317
215.332031	-18.289225
258.398438	-22.281971
301.464844	-26.391926
344.531250	-29.796148
387.597656	-31.354204
430.664063	-29.137972
473.730469	-25.027124
516.796875	-25.294474
559.863281	-28.415590
602.929688	-28.275455
645.996094	-33.789955
689.062500	-31.259459
732.128906	-30.885149
775.195313	-37.134945
818.261719	-38.543930
861.328125	-35.899178
904.394531	-36.580875
947.460938	-36.178654
990.527344	-31.968397
1033.593750	-36.452641
1076.660156	-40.320442
1119.726563	-38.587429
1162.792969	-35.249554
1205.859375	-37.311386
1248.925781	-42.912346
1291.992188	-38.090961
1335.058594	-36.397823
1378.125000	-38.852745
1421.191406	-36.264507
1464.257813	-34.859146
1507.324219	-38.924744
1550.390625	-39.591316
1593.457031	-43.325012
1636.523438	-43.023430
1679.589844	-42.227982
1722.656250	-43.039280
1765.722656	-39.483456
1808.789063	-41.624565
1851.855469	-42.869156
1894.921875	-42.708832
1937.988281	-37.536457
1981.054688	-34.213078
2024.121094	-37.842758
2067.187500	-37.480728
2110.253906	-37.680710
2153.320313	-33.850357
2196.386719	-34.398613
2239.453125	-41.510555
2282.519531	-43.730831
2325.585938	-42.125710
2368.652344	-41.989281
2411.718750	-42.493927
2454.785156	-35.684635
2497.851563	-35.535652
2540.917969	-42.793949
2583.984375	-43.969982
2627.050781	-39.713356
2670.117188	-39.283298
2713.183594	-41.644474
2756.250000	-40.442249
2799.316406	-38.411308
2842.382813	-37.804195
2885.449219	-36.587456
2928.515625	-34.807442
2971.582031	-35.780769
3014.648438	-37.704247
3057.714844	-37.438286
3100.781250	-38.899899
3143.847656	-39.990295
3186.914063	-39.889973
3229.980469	-38.472874
3273.046875	-39.595711
3316.113281	-39.727245
3359.179688	-41.978703
3402.246094	-43.679314
3445.312500	-42.829079
3488.378906	-41.342999
3531.445313	-41.621513
3574.511719	-42.295246
3617.578125	-41.538124
3660.644531	-42.366940
3703.710938	-43.674080
3746.777344	-45.053627
3789.843750	-44.055172
3832.910156	-42.491066
3875.976563	-42.495384
3919.042969	-41.936195
3962.109375	-43.169361
4005.175781	-44.361137
4048.242188	-43.757496
4091.308594	-43.656967
4134.375000	-41.503292
4177.441406	-40.998489
4220.507813	-41.371880
4263.574219	-41.975159
4306.640625	-43.616222
4349.707031	-43.440071
4392.773438	-41.217216
4435.839844	-39.424992
4478.906250	-41.040886
4521.972656	-42.786671
4565.039063	-42.569565
4608.105469	-41.534218
4651.171875	-41.942749
4694.238281	-41.582359
4737.304688	-38.907692
4780.371094	-38.543072
4823.437500	-40.474041
4866.503906	-41.268429
4909.570313	-42.064678
4952.636719	-42.915340
4995.703125	-42.716759
