주파수 (Hz)	레벨 (dB)
43.066406	-51.425243
86.132813	-57.111786
129.199219	-56.770012
172.265625	-53.527473
215.332031	-50.900471
258.398438	-49.157177
301.464844	-48.075352
344.531250	-47.261879
387.597656	-46.321632
430.664063	-43.612801
473.730469	-43.387009
516.796875	-44.247169
559.863281	-43.894531
602.929688	-43.459423
645.996094	-40.617035
689.062500	-39.565346
732.128906	-37.746777
775.195313	-33.887955
818.261719	-30.310627
861.328125	-26.002235
904.394531	-26.822905
947.460938	-25.853416
990.527344	-26.130501
1033.593750	-26.899416
1076.660156	-25.206636
1119.726563	-24.267572
1162.792969	-22.129311
1205.859375	-19.713461
1248.925781	-15.956541
1291.992188	-15.150465
1335.058594	-17.702612
1378.125000	-19.415630
1421.191406	-20.088047
1464.257813	-20.824806
1507.324219	-22.575998
1550.390625	-22.857420
1593.457031	-21.142487
1636.523438	-22.967691
1679.589844	-19.441095
1722.656250	-13.983141
1765.722656	-17.093060
1808.789063	-24.719378
1851.855469	-26.441723
1894.921875	-26.591444
1937.988281	-26.590767
1981.054688	-26.878654
2024.121094	-26.896523
2067.187500	-27.265038
2110.253906	-27.347651
2153.320313	-26.134605
2196.386719	-26.087225
2239.453125	-26.487093
2282.519531	-26.670256
2325.585938	-25.437737
2368.652344	-23.340263
2411.718750	-21.914833
2454.785156	-22.136951
2497.851563	-22.851164
2540.917969	-19.760048
2583.984375	-16.324575
2627.050781	-18.454702
2670.117188	-24.562040
2713.183594	-26.738937
2756.250000	-28.183256
2799.316406	-28.586378
2842.382813	-27.825733
2885.449219	-26.426832
2928.515625	-27.035360
2971.582031	-28.130314
3014.648438	-27.295980
3057.714844	-27.951134
3100.781250	-29.607527
3143.847656	-27.481970
3186.914063	-27.690935
3229.980469	-28.370975
3273.046875	-28.674566
3316.113281	-28.110956
3359.179688	-28.327639
3402.246094	-26.023903
3445.312500	-21.823593
3488.378906	-22.847929
3531.445313	-26.431532
3574.511719	-28.644226
3617.578125	-29.978367
3660.644531	-30.450254
3703.710938	-31.881033
3746.777344	-33.419270
3789.843750	-32.995464
3832.910156	-31.977600
3875.976563	-31.379534
3919.042969	-30.512018
3962.109375	-31.302450
4005.175781	-31.801710
4048.242188	-32.649055
4091.308594	-34.393013
4134.375000	-35.036293
4177.441406	-35.700188
4220.507813	-36.653427
4263.574219	-35.383434
4306.640625	-34.419197
4349.707031	-35.364971
4392.773438	-37.048489
4435.839844	-38.367550
4478.906250	-38.452366
4521.972656	-39.042351
4565.039063	-40.828484
4608.105469	-40.361691
4651.171875	-39.501011
4694.238281	-38.231068
4737.304688	-37.896839
4780.371094	-39.159245
4823.437500	-38.539948
4866.503906	-39.751411
4909.570313	-40.361042
4952.636719	-39.332447
4995.703125	-39.033001
5038.769531	-39.097836
5081.835938	-38.560394
5124.902344	-37.930851
5167.968750	-36.077923
5211.035156	-36.460629
5254.101563	-37.856720
5297.167969	-39.422089
5340.234375	-40.855804
5383.300781	-40.637779
5426.367188	-41.297230
5469.433594	-41.071766
5512.500000	-40.497726
5555.566406	-40.778030
5598.632813	-41.694092
5641.699219	-42.402981
5684.765625	-42.919849
5727.832031	-41.705715
5770.898438	-42.029518
5813.964844	-42.519096
5857.031250	-43.416912
5900.097656	-42.244560
5943.164063	-41.114510
5986.230469	-38.695854
6029.296875	-35.827465
6072.363281	-36.741306
6115.429688	-38.721878
6158.496094	-40.955864
6201.562500	-43.043312
6244.628906	-44.214073
6287.695313	-44.673931
6330.761719	-43.858994
6373.828125	-43.036964
6416.894531	-43.104004
6459.960938	-44.460594
6503.027344	-46.349800
6546.093750	-46.452747
6589.160156	-46.029980
6632.226563	-45.266792
6675.292969	-44.693504
6718.359375	-44.809906
6761.425781	-45.118389
6804.492188	-43.818802
6847.558594	-42.682487
6890.625000	-43.359577
6933.691406	-44.071896
6976.757813	-44.087597
7019.824219	-46.539345
7062.890625	-48.587311
7105.957031	-48.720116
7149.023438	-49.625046
7192.089844	-49.209179
7235.156250	-48.747025
7278.222656	-47.880474
7321.289063	-49.034473
7364.355469	-49.190746
7407.421875	-50.232708
7450.488281	-50.125210
7493.554688	-48.466919
7536.621094	-47.176460
7579.687500	-48.801926
7622.753906	-47.408913
7665.820313	-46.762562
7708.886719	-47.121620
7751.953125	-46.382511
7795.019531	-45.807137
7838.085938	-46.684288
7881.152344	-47.176609
7924.218750	-47.340614
7967.285156	-47.746620
8010.351563	-49.266911
8053.417969	-48.740585
8096.484375	-49.365845
8139.550781	-48.180328
8182.617188	-49.236877
8225.683594	-50.748676
8268.750000	-51.146103
8311.816406	-53.135021
8354.882813	-54.063141
8397.949219	-58.807045
8441.015625	-60.633030
8484.082031	-59.220615
8527.148438	-56.131775
8570.214844	-55.446682
8613.281250	-54.313427
8656.347656	-56.366417
8699.414063	-58.424839
8742.480469	-63.795845
8785.546875	-62.817181
8828.613281	-61.748558
8871.679688	-61.132885
8914.746094	-60.596481
8957.812500	-63.195290
9000.878906	-61.820511
9043.945313	-62.442593
9087.011719	-62.773758
9130.078125	-64.504776
9173.144531	-62.642879
9216.210938	-59.169914
9259.277344	-61.414066
