주파수 (Hz)	레벨 (dB)
43.066406	-31.666086
86.132813	-39.782703
129.199219	-29.283104
172.265625	-20.836500
215.332031	-14.757874
258.398438	-11.841026
301.464844	-12.753119
344.531250	-15.528555
387.597656	-20.787725
430.664063	-23.250301
473.730469	-22.596251
516.796875	-24.674778
559.863281	-25.977482
602.929688	-26.258047
645.996094	-25.012657
689.062500	-22.470974
732.128906	-25.721096
775.195313	-33.683578
818.261719	-32.444740
861.328125	-30.975712
904.394531	-27.118849
947.460938	-29.061302
990.527344	-33.243465
1033.593750	-33.446583
1076.660156	-34.911247
1119.726563	-34.565659
1162.792969	-34.993225
1205.859375	-37.251163
1248.925781	-38.633224
1291.992188	-40.218899
1335.058594	-39.187225
1378.125000	-38.852600
1421.191406	-39.471752
1464.257813	-40.920975
1507.324219	-39.392811
1550.390625	-35.915321
1593.457031	-36.582169
1636.523438	-38.791168
1679.589844	-37.517960
1722.656250	-38.095798
1765.722656	-38.764626
1808.789063	-37.541126
1851.855469	-36.606125
1894.921875	-40.996105
1937.988281	-42.709679
1981.054688	-39.913231
2024.121094	-38.440952
2067.187500	-38.487141
2110.253906	-38.451614
2153.320313	-38.208168
2196.386719	-39.848240
2239.453125	-40.692471
2282.519531	-41.250996
2325.585938	-38.946453
2368.652344	-36.570686
2411.718750	-35.190708
2454.785156	-34.513672
2497.851563	-34.586662
2540.917969	-38.785641
2583.984375	-38.793503
2627.050781	-37.397713
2670.117188	-33.426933
2713.183594	-33.485397
2756.250000	-36.242100
2799.316406	-37.649345
2842.382813	-37.826073
2885.449219	-37.129951
2928.515625	-35.041771
2971.582031	-34.904396
3014.648438	-34.728664
3057.714844	-35.736420
3100.781250	-37.624775
3143.847656	-39.384098
3186.914063	-40.936470
3229.980469	-40.363552
3273.046875	-38.361359
3316.113281	-37.111454
3359.179688	-37.583492
3402.246094	-39.841721
3445.312500	-41.108177
3488.378906	-42.522709
3531.445313	-41.819572
3574.511719	-41.409111
3617.578125	-40.761894
3660.644531	-38.914635
3703.710938	-38.960808
3746.777344	-40.734173
3789.843750	-40.544556
3832.910156	-41.307659
3875.976563	-41.276615
3919.042969	-40.372993
3962.109375	-39.316578
4005.175781	-39.202255
4048.242188	-39.064381
4091.308594	-39.274815
4134.375000	-39.401531
4177.441406	-38.047806
4220.507813	-37.135315
