주파수 (Hz)	레벨 (dB)
43.066406	-27.526072
86.132813	-25.963608
129.199219	-25.758461
172.265625	-20.796206
215.332031	-18.075806
258.398438	-17.661364
301.464844	-17.889647
344.531250	-22.578741
387.597656	-26.915443
430.664063	-25.981310
473.730469	-25.861322
516.796875	-27.590441
559.863281	-28.774282
602.929688	-27.051476
645.996094	-23.890522
689.062500	-21.365721
732.128906	-22.746101
775.195313	-25.087841
818.261719	-24.279211
861.328125	-20.754139
904.394531	-22.059937
947.460938	-28.484537
990.527344	-31.111643
1033.593750	-31.639952
1076.660156	-31.505770
1119.726563	-31.597992
1162.792969	-32.500740
1205.859375	-34.395679
1248.925781	-34.348694
1291.992188	-34.576237
1335.058594	-35.985153
1378.125000	-38.556271
1421.191406	-39.555580
1464.257813	-37.491734
1507.324219	-35.003300
1550.390625	-34.396652
1593.457031	-36.018620
1636.523438	-38.118370
1679.589844	-35.582981
1722.656250	-35.116570
1765.722656	-36.435574
1808.789063	-35.776993
1851.855469	-35.010208
1894.921875	-32.427761
1937.988281	-32.599869
1981.054688	-34.581543
2024.121094	-33.378948
2067.187500	-32.863796
2110.253906	-33.494301
2153.320313	-35.246063
2196.386719	-36.714806
2239.453125	-37.488407
2282.519531	-39.184792
2325.585938	-39.943062
2368.652344	-39.511856
2411.718750	-38.919571
2454.785156	-38.375023
2497.851563	-38.654682
2540.917969	-36.904358
2583.984375	-36.249157
2627.050781	-36.326729
2670.117188	-36.398090
2713.183594	-38.547569
2756.250000	-39.260509
2799.316406	-39.860748
2842.382813	-42.008400
2885.449219	-43.101803
2928.515625	-42.621353
2971.582031	-40.549091
3014.648438	-41.261150
3057.714844	-41.546162
3100.781250	-40.382122
3143.847656	-38.726589
3186.914063	-39.047356
3229.980469	-39.692551
3273.046875	-40.061455
3316.113281	-41.183315
3359.179688	-42.602352
3402.246094	-43.654358
3445.312500	-45.579556
3488.378906	-46.917175
3531.445313	-46.820038
3574.511719	-46.159771
3617.578125	-45.842297
3660.644531	-44.584160
3703.710938	-44.235519
3746.777344	-45.525841
3789.843750	-46.002930
3832.910156	-45.022408
3875.976563	-45.786781
3919.042969	-46.888180
3962.109375	-46.504192
4005.175781	-46.495174
4048.242188	-45.792534
4091.308594	-44.957062
4134.375000	-43.115456
4177.441406	-41.954975
4220.507813	-41.351006
4263.574219	-41.192276
4306.640625	-41.795525
4349.707031	-41.640224
4392.773438	-41.891251
4435.839844	-43.210838
4478.906250	-43.462242
4521.972656	-43.237862
4565.039063	-42.743900
4608.105469	-42.036980
4651.171875	-42.311756
4694.238281	-42.145084
4737.304688	-43.098068
4780.371094	-43.778183
4823.437500	-44.761978
4866.503906	-44.040760
4909.570313	-42.965668
4952.636719	-43.837395
4995.703125	-44.423965
5038.769531	-45.015541
5081.835938	-45.401409
5124.902344	-45.901688
5167.968750	-46.322563
5211.035156	-45.314217
5254.101563	-43.552010
5297.167969	-42.824123
5340.234375	-42.316906
5383.300781	-42.244366
5426.367188	-42.352184
5469.433594	-43.420300
5512.500000	-45.952305
5555.566406	-48.142731
5598.632813	-48.431648
5641.699219	-45.017582
5684.765625	-44.604176
5727.832031	-43.345108
5770.898438	-43.403069
5813.964844	-43.365089
5857.031250	-42.574398
5900.097656	-43.276165
5943.164063	-45.097366
5986.230469	-43.538807
6029.296875	-44.040932
6072.363281	-46.175377
6115.429688	-45.822727
6158.496094	-47.771358
6201.562500	-49.659157
6244.628906	-48.594208
6287.695313	-47.734875
6330.761719	-47.858406
6373.828125	-46.513729
6416.894531	-45.948872
6459.960938	-46.008842
6503.027344	-45.285198
6546.093750	-44.672779
6589.160156	-46.198559
6632.226563	-45.430901
6675.292969	-46.670597
6718.359375	-48.057758
6761.425781	-47.078365
6804.492188	-48.242004
6847.558594	-48.631069
6890.625000	-49.574291
6933.691406	-49.827442
6976.757813	-49.758945
7019.824219	-49.585438
7062.890625	-48.647018
7105.957031	-47.901867
7149.023438	-46.860439
7192.089844	-44.614388
7235.156250	-45.353958
7278.222656	-46.773273
7321.289063	-47.137508
7364.355469	-45.941929
7407.421875	-46.426201
7450.488281	-45.461441
7493.554688	-44.748856
7536.621094	-45.476074
7579.687500	-46.634209
7622.753906	-47.660038
7665.820313	-46.014133
7708.886719	-43.368275
7751.953125	-44.259823
7795.019531	-45.725731
7838.085938	-45.627113
7881.152344	-46.371201
7924.218750	-45.981659
7967.285156	-44.472851
8010.351563	-44.354977
8053.417969	-43.178181
8096.484375	-44.089207
8139.550781	-44.822220
8182.617188	-43.133179
8225.683594	-41.835842
8268.750000	-43.571960
8311.816406	-44.481621
8354.882813	-44.985966
8397.949219	-45.481430
8441.015625	-44.412842
8484.082031	-40.823292
8527.148438	-40.397671
8570.214844	-42.261642
8613.281250	-41.001003
8656.347656	-40.340248
8699.414063	-42.290226
8742.480469	-43.256390
8785.546875	-43.083103
8828.613281	-43.717148
8871.679688	-44.462925
8914.746094	-44.431938
8957.812500	-44.401058
9000.878906	-43.349457
9043.945313	-43.572754
9087.011719	-43.374626
9130.078125	-43.311386
9173.144531	-42.386051
9216.210938	-40.863068
9259.277344	-40.273964
9302.343750	-40.051319
9345.410156	-41.907047
9388.476563	-44.388790
9431.542969	-39.415691
9474.609375	-37.847939
9517.675781	-40.301697
9560.742188	-43.461834
9603.808594	-44.475487
